Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,Urban population growth (annual %),SP.URB.GROW,,2.147858087,1.52032914,1.357041595,1.186471932,1.001576484,0.835370915,0.358732863,-0.11943469,-0.265922242,-0.406897803,-0.522719325,0.036948088,0.832738956,1.07987402,1.107445544,0.753103605,0.41309037,0.414598289,0.403303792,0.388956685,0.526818102,0.766214788,0.866320763,0.738399979,0.441052454,0.08613265,-0.190822132,-0.212795565,0.379015938,1.683479832,3.190556921,2.764753684,2.217710681,2.363030279,2.247285585,2.17966459,2.176490597,2.145090883,2.070733072,1.664222124,0.956373099,0.401335154,0.196517211,0.094569362,0.193588049,0.367257987,0.408048969,0.413382967,0.40239631,0.29437351,0.662063111,0.84939325,0.826413458,0.810669185,0.793025568,0.784578493,0.771898934,0.765986265,0.762320963,0.479957876,0.342950565,0.335380822,0.300246172
Africa Eastern and Southern,AFE,Urban population growth (annual %),SP.URB.GROW,,4.405489576,4.521039631,4.653809284,4.764304179,4.820568478,4.838067782,4.849351108,4.900811858,4.937732482,4.80708438,4.810826268,4.857560039,4.834362277,4.742585564,4.740565087,4.701517097,4.656332075,4.852288141,4.876979116,4.573830784,4.44654605,4.492222629,4.655628835,4.85464387,5.07015186,5.310725928,5.340276158,5.154641856,5.011675146,5.078849583,4.596574405,4.349481475,4.374956368,4.318885221,4.099297214,3.781097912,3.643047474,3.588252353,3.601473618,3.60226234,3.655377392,3.716957913,3.70808214,3.736204967,3.814603563,3.806357459,3.61360814,4.122775797,4.113937276,4.129107029,4.131388529,4.072096167,4.13567315,4.189535635,4.282729397,4.128188658,4.021131501,4.107632611,4.090983086,4.068589242,3.987698242,3.92147315,3.914515492
Afghanistan,AFG,Urban population growth (annual %),SP.URB.GROW,,5.239184823,5.322099176,5.36650792,5.427080074,5.47944395,5.521405197,5.532865709,5.58670108,5.596421691,5.644844293,5.610387296,5.614153041,5.688981889,5.663688753,5.535782619,5.304430466,5.18605446,5.056233502,3.450726894,-0.405637703,-7.791890239,-6.581748242,2.073632557,6.317337803,5.971151549,2.755759089,2.12839107,3.89801351,3.1795852,0.623574329,0.889255391,11.940176,15.38033614,10.28308499,6.463627944,4.518348289,4.328815439,4.294823852,4.492655212,1.8613773,1.153838615,6.863452978,7.953447688,4.588653258,4.47468959,5.034216003,2.688468426,2.8939489,4.449268736,3.779279064,4.574493314,4.958980984,4.344553352,4.531768503,3.996007967,3.452642906,3.781556617,3.850832833,3.919286985,4.185357062,3.951857289,3.675647413,3.849602621
Africa Western and Central,AFW,Urban population growth (annual %),SP.URB.GROW,,4.787421155,4.812402538,4.919916989,4.986384629,5.056660841,4.889617855,4.9177616,4.952798426,4.985370236,4.961353256,5.303309203,5.344100319,5.394154299,5.462655251,5.519746539,5.534161636,5.322984565,5.34176862,4.93850956,4.913670367,5.391147277,5.367484024,5.151480311,5.106000895,5.294208449,5.207434897,5.120615059,5.045130263,4.979559566,4.700508369,4.085717238,4.127485591,4.031079444,3.925911712,3.953902585,3.950759313,4.080946888,4.131279163,4.110491131,4.145189491,4.567985709,4.556128123,4.555917419,4.559349847,4.570264686,4.55801765,4.518461665,4.48702372,4.477331407,4.466047073,4.432145136,4.362969664,4.265730645,4.227751366,4.178107708,4.132519943,4.095452695,4.029438511,3.967222452,3.923804232,3.852868204,3.793811081,3.770219395
Angola,AGO,Urban population growth (annual %),SP.URB.GROW,,4.977924145,5.151809913,5.090493413,4.967320698,4.743085246,4.49628471,4.302404915,4.283800065,4.574056233,5.239910442,6.828401226,8.124045277,8.364953419,8.377040058,8.29047025,8.190917919,8.155695537,8.185562494,8.158929612,8.162664982,8.13550266,8.107921698,8.060042644,7.98421293,7.890389232,7.77743434,7.571054097,7.422788734,7.333406265,7.22349673,7.119319908,6.960837482,6.771998639,6.722597969,5.971988064,5.960013044,5.901940058,5.794187303,5.683946642,5.648669553,5.627442316,5.623762279,5.645138173,5.685844963,5.674547482,4.947079621,4.969582617,4.980011828,4.975504409,4.995580748,4.9972692,4.97386378,4.926418529,4.85333966,4.75101947,4.688145399,4.62086229,4.500115171,4.402191144,4.242778261,4.111785847,4.013085739,3.918632482
Albania,ALB,Urban population growth (annual %),SP.URB.GROW,,3.893009665,3.289207022,3.182264531,3.112068144,2.984828013,2.864945444,2.859929437,3.071745751,3.219848385,3.157619134,3.029187299,3.100658737,2.964573466,2.89871135,2.902126121,2.805688761,2.810024998,2.669114362,2.582275994,2.82702035,2.775926165,2.883273307,2.890837193,2.867971958,2.817046493,2.691391059,2.755141155,2.639152558,3.437377879,2.543042545,0.141060582,0.87843043,0.85553496,0.84372567,0.82417126,0.812476342,0.788237295,0.774515179,0.755983737,0.742478629,0.710442618,2.181208904,2.060274182,1.971798937,1.826429357,1.662227897,1.49221507,1.435124211,1.473287913,1.609373264,1.787783785,1.848378936,1.74363937,1.646115996,1.484764333,1.54401448,1.541284964,1.317162104,1.071413549,0.857610923,0.44340448,0.093716063,0.103888261
Andorra,AND,Urban population growth (annual %),SP.URB.GROW,,12.11796483,11.51042234,10.95149641,10.41416683,9.882272634,10.00186619,10.7044862,10.70609072,10.08549681,9.557405028,9.108102096,8.684409416,8.300296846,7.932402927,7.51100434,7.101989734,6.663406063,6.182481527,5.668464523,5.093215463,4.587372423,4.986616068,5.297983391,4.828683429,4.323567078,4.192673812,4.200547721,3.993051253,3.75605623,3.499911002,3.230904074,3.063170511,2.99008639,2.896290249,2.806278073,1.665751744,0.569053116,0.503120734,0.436520069,0.377327984,2.205721721,3.918559741,3.750014339,3.511382789,3.177421112,-0.037470076,-3.149977749,-3.080926144,-3.04324036,-3.314929836,-1.444532107,0.524091012,0.390086599,0.246585861,0.066284743,0.990596724,1.660740559,1.48083075,1.669357528,1.68440885,1.636346031,0.940293027,0.287769983
Arab World,ARB,Urban population growth (annual %),SP.URB.GROW,,4.993707985,5.011294745,5.092385774,5.14833325,5.228207451,5.100091891,4.811471557,4.849924378,4.850669825,4.813094075,4.698696373,4.722124222,4.710424643,4.592599468,4.696724622,5.16891063,5.020249435,4.285723476,4.384637841,4.719110814,4.504312629,4.388937414,4.50798688,4.582657214,4.398157545,4.379930586,4.182628677,3.78383624,3.642741948,4.148207359,2.984539553,3.608380197,3.540265142,3.251330646,2.875575993,2.786000774,2.809487926,2.799354417,2.770314968,2.761375146,2.738568865,2.704920648,2.687773109,2.681487305,2.975946029,3.292407977,3.210059954,3.525021784,3.440441059,3.13969527,2.640995252,2.565236416,2.864270878,2.848133961,2.75797536,2.598836894,2.504305122,2.547957898,2.505270748,2.110092532,1.979809583,2.239101601,2.310167369
United Arab Emirates,ARE,Urban population growth (annual %),SP.URB.GROW,,6.704130083,6.603749724,6.433375043,6.230169247,6.049183895,5.896147921,5.727395081,11.62689687,17.04009262,16.29559895,14.47552737,13.00707828,11.80817856,10.81039861,9.944668558,12.37396586,14.30878022,13.28262726,12.31129123,11.24439761,8.118888805,5.700287388,5.525605353,5.284352533,5.02170281,6.036999066,6.867192429,6.43496906,6.045656765,5.685723145,5.356106075,5.045482177,4.749269727,4.459240058,4.21939555,5.765777985,7.087214249,6.734077996,6.407250659,6.112729361,5.837919485,5.574400907,5.327679966,5.098092344,7.432144505,13.95183249,18.58068463,17.83655678,13.8477396,6.35090086,1.494345176,1.426761783,1.370981706,1.318986901,1.261559374,1.202951236,1.148410804,1.106633947,1.087204403,1.115670753,1.122749405,1.087188975,1.068266217
Argentina,ARG,Urban population growth (annual %),SP.URB.GROW,,2.432904523,2.367622276,2.343966767,2.307416154,2.267355609,2.24944311,2.22844796,2.199842716,2.172403774,2.185329253,2.141100742,2.125420812,2.162336014,2.209650202,2.157000464,2.07907294,2.075058201,2.074056815,2.058588314,2.03351882,2.093249476,2.107186721,2.076787368,2.043030285,2.004978667,1.988796295,1.975690928,1.961376139,1.927352967,1.8838311,1.8187577,1.632186829,1.597564758,1.583773749,1.54920796,1.489269537,1.422082095,1.378115353,1.369248714,1.346646898,1.308731698,1.275955188,1.228792108,1.209159175,1.223592348,1.222209318,1.190161258,1.173614884,1.191967816,0.429649599,1.308141316,1.280773703,1.25948243,1.239638679,1.215797063,1.192602919,1.170195959,1.147602159,1.125019726,1.100415053,1.075515039,1.053695664,1.029306061
